公司名称,工商名称,公司网址,成立时间,地点,运营状态,行业,子行业,融资时间,轮次,融资金额,投资方,融资总额,估值,团队,公司简介,详细地址,公开电话,公开邮箱,笔记
智能盒子,成都智能盒子科技有限公司,http://www.robox.cn,2012-01,四川-成都,运营中,硬件,机器人,-,-,-,-,-,-,陈吕洲:创始人及总经理,智能盒子，一家专业的提供教育机器人产品和物联网解决方案的高科技公司。致力于开源硬件的推广和应用；业务拓展涵盖“物联感知、智能家居、智能控制平台、教育机器人、创意电子产品”五大核心领域。,,,,-
乐联网,北京乐为物联科技有限责任公司,http://www.lewei50.com/,2011-06,北京-石景山区,运营中,企业服务,其他企业服务,-,-,-,-,-,-,刘路生:创始人,乐联网隶属于北京乐为物联科技有限责任公司，是一个物联网服务平台。,,,,-
iKair家庭环境管家,北京超感时空科技有限公司,http://ikair.com/,2013-08,北京-海淀区,运营中,硬件,综合硬件,2015-10-08,B轮,未透露人民币,IDG资本,1300万,未透露,"王永涛:CEO,高志兴:联合创始人",iKair家庭环境管家是一个专注于家庭室内环境监测的软硬件服务平台，提供模块式的检测仪帮助用户了解当前室内空气、环境异常和改善建议等，北京超感时空科技有限公司旗下产品。,,,,-
,,,,,,,,2013-10-01,A轮,200万美元,戈壁创投,,,,,,,,
行易道,北京行易道科技有限公司,http://www.autoroad.cn/,2014-11,北京-海淀区,运营中,汽车交通,车联网及硬件,2015-01-30,天使轮,1000万人民币,磐谷创投,1000万,5000万元,赵捷:CEO,行易道是一家从事智能汽车及飞行器智能技术的研发、生产、销售公司，产品有智能驾驶、智能飞行辅助系统等。,北京市海淀区永泰中路25号中关村永泰创新园A201室,010-62905928,contact@autoroad.cn,-
宏原科技Marcpoint,上海宏原信息科技有限公司,http://www.marcpoint.com,2013-05,上海-徐汇区,运营中,企业服务,数据服务,2018-08-23,Pre-A轮,数千万人民币,协立投资,3300万,未透露,"史建明:创始人,李杰:联合创始人","宏原科技成立于2013年，致力于通过大数据和机器学习，开发相关的产品和解决方案，帮助品牌塑造DT时代的营销模式和方法，和行业共同推动营销在DT时代的升级。
宏原科技主要服务于：母婴、美妆、大健康、服装行业的品牌。目前服务的品牌主要包括：宝洁、欧莱雅、百事、伊利、雀巢、拜耳制药、礼来制药等。",,,,-
,,,,,,,,2015-07-30,天使轮,数百万人民币,协立投资,,,,,,,,
天地云箱,北京天地云箱科技有限公司,http://www.cloud-frame.com/,2009-09,北京-大兴区,运营中,企业服务,数据服务,2009-10-01,A轮,数千万人民币,宽带资本CBC,3000万,1.5亿元,胡寅:CEO,天地云箱，一个云计算基础设施及系统供应商，致力于下一代绿色数据中心的设计、开发与生产，提供云计算软、硬件系统的研发和集成服务。产品有云箱、云监控系统等。,,,,-
品途,北京品途数信科技有限公司,https://www.pintu360.com/,2012-11,北京-朝阳区,运营中,文化娱乐,媒体及阅读,2017-12-01,战略投资,数亿人民币,-,3.3亿,未透露,"曲飞宇:创始人兼首席执行官,刘宛岚:创始人",品途是一家专注于推动产业互联网科技创新的商业媒体集团。旗下拥有“品途传媒”，“品途智库”、“品途资本”三大业务生态，致力于打造以产业互联网媒体为先导的产业创新加速器生态服务平台。 品途旨在通过内容的价值传播、数据的信息链接、资源的能力整合，构建产业创新加速器生态平台，提升传统企业从业者的认知水平，加速企业互联网和科技化创新进程，带动产业转型升级，从而真正做到“产创融合”，用创新创业促进产业发展，用产业发展反哺创新创业。,,,gening.lu@crossmo.com,-
,,,,,,,,2015-10-09,天使轮,数千万人民币,春晓资本,,,,,,,,
车音智能,车音智能科技有限公司,http://www.vcyber.cn/,2008-11,广东-深圳,运营中,汽车交通,车联网及硬件,2018-07-17,并购,未透露人民币,华闻传媒（上海鸿立）,8000万,未透露,沈康麒:创始人董事长,车音网是一家车载语音识别技术开发商，致力于通过语音识别技术，提供以商用级中文语音识别为基础的人机交互平台及Telematics服务企业解决方案，为驾驶者打造安全便携的语控通讯、语控导航、资讯娱乐、车务管理等智能辅助驾驶服务。,,400-777-1111,,-
,,,,,,,,2015-02-11,B轮,未透露人民币,"奇虎360,均胜电子",,,,,,,,
,,,,,,,,2011-06-01,A轮,8000万人民币,江苏高科技投资集团(高投集团),,,,,,,,
盈觉智能科技,上海盈觉智能科技有限公司,http://www.yingjuetech.cn/,2013-04,上海-杨浦区,已关闭,企业服务,行业信息化及解决方案,-,-,-,-,-,-,张德峰:总经理,盈觉智能科技是一家以计算机视觉技术为核心，致力于为企业和个人消费者提供智能视频分析以及工业视觉解决方案，满足用户对于安防，工业自动化生产，视频数据智能统计分析的各类需求，同时为其他公司提供计算机视觉相关产品的研发服务。,,,,-
新石器,新石器慧通（北京）科技有限公司,http://www.neolix.ai/,2018-02,北京-朝阳区,运营中,物流,其他物流,2018-04-18,战略投资,未透露人民币,"元禾控股,车和家",-,未透露,,新石器是一家物流领域的自动驾驶公司,,,contacts@neolix.cn,-
云角信息,上海云角信息技术有限公司,http://www.yungoal.com/,2012-03,上海-长宁区,运营中,企业服务,IT基础设施,2017-07-20,并购,未透露人民币,神州数码,4000万,未透露,"郝峻晟:创始人,朱珠:联合创始人",云角信息YunGoal是云计算软件和服务提供商，专注于公有云和混合云平台的迁移、运维和软件开发，其自主开发的云舶平台能够提供跨各种公有云和私有云的监控、计费和资源管理的SaaS服务，其它产品包括云管理系统YunBoard云博、Cloud Space网盘管理专家等。,,,,-
,,,,,,,,2015-12-11,A轮,4000万人民币,润和软件,,,,,,,,
SuperCloud天地超云,北京天地超云科技有限公司,http://www.chinasupercloud.com,2010-05,北京-大兴区,运营中,企业服务,IT基础设施,2010-06-01,A轮,数百万美元,宽带资本CBC,1950万,9750万元,韦轶群:CEO,SuperCloud天地超云是一家云计算服务器和云基础设施供应商，为用户打造云计算基础设施的整体解决方案。,,86.1059791,chenxf@cbcos.com,-
TCloud天云趋势,北京天云趋势科技有限公司,http://www.tcloudcomputing.com.cn,2010-04,北京-大兴区,运营中,企业服务,综合企业服务,2010-04-01,A轮,数百万美元,宽带资本CBC,1950万,9750万元,,北京天云趋势科技（TCloud）是一家云计算解决方案及服务提供，产品包括企业级云管理平台Elaster云成平台、企业级Hadoop集群管理平台BDP云慧平台。,,,,-
七鑫易维,北京七鑫易维信息技术有限公司,https://www.7invensun.com/,2009-02,北京-朝阳区,运营中,硬件,消费电子,2018-02-05,C轮,未透露人民币,"中关村发展集团,晟道投资",3000万,未透露,"黄通兵:CEO,彭凡:COO",七鑫易维是致力于机器视觉和人工智能领域的高新科技企业，专注于眼球追踪技术的研发和创新，旨在升级和优化所有终端设备的人机交互体验。将眼球追踪技术广泛应用于智慧医疗、VR/AR、智能手机、广告传媒、智能汽车、机器人、航空航天等领域。,北京市朝阳区启阳路北京金辉大厦18层1801-1803,400-880-1390,business@7invensun.com,-
,,,,,,,,2016-01-03,B轮,数千万人民币,"高通Qualcomm Ventures,中兴合创,朗玛峰创投,同道齐创,国科投资",,,,,,,,
,,,,,,,,2014-12-12,A轮,未透露美元,高通Qualcomm Ventures,,,,,,,,
,,,,,,,,2014-01-01,天使轮,未透露人民币,高通Qualcomm Ventures,,,,,,,,
Syscloud犀思云计算,犀思云（北京）云计算科技有限公司,http://www.syscloud.com.cn/,2012-04,北京-朝阳区,运营中,企业服务,IT基础设施,2016-12-10,A轮,1.5亿人民币,"达晨创投,晨晖资本,西高投,齐心集团",1.5亿,7.5亿元,张雄国:创始人,犀思云计算是一家致力于在计算与联网、存储与分发两大领域，为用户提供业界领先的云计算解决方案的公司，面向企业提供云交换网络服务，目前犀思云交换在国内已与阿里云、腾讯云、金山云等主流云服务商完成互联，并积极与海外云服务AWS、AZURE、SOFTLAYER等建立互联节点。,,,,-
优锘科技,北京优锘科技有限公司,http://www.uinnova.cn/,2012-04,北京-朝阳区,运营中,企业服务,IT基础设施,2017-12-01,B轮,1.2亿人民币,云锋基金,1.92亿,未透露,陈傲寒:CEO,Uinnova是一家可视化管理软件和互联网服务提供商，为IT管理和物联网管理提供可视化能力，目前已经推出数据中心可视化系统、仓储可视化系统和数据中心3D设计互联网DIY服务。北京优锘科技有限公司旗下产品。,北京市朝阳区花家地北里14号楼北京国际画材中心5层,400-051-0152,info@uinnova.com,-
,,,,,,,,2016-04-01,A轮,7200万人民币,"金浦投资,熔岩投资",,,,,,,,
Flexbot璟和技创,上海璟和技创机器人有限公司,http://www.jhrobot.com,2012-05,上海-浦东新区,运营中,医疗健康,医疗器械及硬件,2016-05-14,并购,未透露人民币,-,-,未透露,顾捷:CEO,Flexbot是一个主打下肢康复训练的智能机器人系统，上海璟和技创机器人有限公司旗下产品。,中国（上海）自由贸易试验区碧波路500号102室,021-58302308,shumeng.hou@jhrobot.com,-
智齿客服,北京智齿博创科技有限公司,http://www.sobot.com/,2013-08,北京-海淀区,运营中,企业服务,其他企业服务,2018-04-10,B+轮,1.5亿人民币,"云启资本,界石投资,耀途资本",2.4亿,未透露,"徐懿:联合创始人,彭伟:联合创始人,吴立楠:联合创始人,龙中武:联合创始人",智齿科技是一家专注于自然语言处理领域的初创公司，主要将自然语言处理、人工智能技术应用在企业客服领域，已经服务于数万家的客户（包括乐视网、Roseonly、爱施德、海尔、惠买网、富士康、宜信、泰康人寿等）。,北京市海淀区中关村南大街甲10号银海大厦北区209,,,-
,,,,,,,,2017-05-23,B轮,5000万人民币,"IDG资本,界石投资,拓尔思,金科君创",,,,,,,,
,,,,,,,,2015-12-25,A轮,500万美元,"IDG资本,真格基金,华创资本",,,,,,,,
,,,,,,,,2015-03-09,Pre-A轮,770万人民币,"真格基金,芳晟股权投资基金,华创资本",,,,,,,,
捷通华声,北京捷通华声科技股份有限公司,http://www.sinovoice.com,2000-10,北京-海淀区,运营中,企业服务,行业信息化及解决方案,2018-09-25,战略投资,1亿人民币,深创投,1.72亿,未透露,"张连毅:董事长,武卫东:总经理",北京捷通华声是一家专注于语音、手写识别等智能人机交互（HCI）领域的技术公司，产品包括中文语音合成、灵云语音开放平台等。,北京市海淀区中关村软件园2号楼A座2101,010-82826886-8858、8692,,-
,,,,,,,,2017-03-31,战略投资,5000万人民币,海通证券,,,,,,,,
,,,,,,,,2016-06-30,新三板,未透露人民币,-,,,,,,,,
,,,,,,,,2013-12-13,C轮,430万人民币,清华控股,,,,,,,,
,,,,,,,,2013-04-01,B轮,600万人民币,百度公司,,,,,,,,
,,,,,,,,2011-09-01,A轮,1200万人民币,华软投资,,,,,,,,
悠络客,上海悠络客电子科技有限公司,http://www.ulucu.com/,2009-09,上海-青浦区,运营中,企业服务,企业安全,2018-12-06,C+轮,未透露人民币,腾讯,2.54亿,未透露,沈修平:CEO,上海悠络客电子科技是一家视频监控云服务及联网监控运营商，为连锁企业、物流行业、教育、政府等提供联网监控运营服务。,上海市徐汇区虹梅路1801号凯科国际大厦11楼,400-821-8888,,-
,,,,,,,,2018-11-12,新三板定增,4979万人民币,"腾讯,华强资本",,,,,,,,
,,,,,,,,2018-01-05,C轮,7887万人民币,"招商局资本,理成资产",,,,,,,,
,,,,,,,,2016-05-25,新三板,未透露人民币,-,,,,,,,,
,,,,,,,,2015-05-01,B轮,1亿人民币,"用友幸福投资,东方富海",,,,,,,,
,,,,,,,,2014-03-01,A轮,2500万人民币,KPCB凯鹏华盈中国,,,,,,,,
中天安驰,深圳市中天安驰有限责任公司,http://www.aidriving.com,2013-11,广东-深圳,运营中,汽车交通,车联网及硬件,2018-09-03,A+轮,1亿人民币,"云启资本,度量衡资本",1.3亿,未透露,徐一新:联合创始人,中天安驰凭借智能算法优势，传感器优势，数据分析优势，从2013年开始起航，力争做中国智能汽车、ADAS行业第一品牌。希望用更精准的人机交互、车与车通讯，再加上摄像头、雷达、传感器等精密仪器捕捉的车辆数据，让汽车更智能，“让汽车驾驶实现主动安全”。,深圳市南山区高新中一道长园新材料港2栋5层,0755-2660-0406,sales@aidriving.com,-
,,,,,,,,2014-04-01,A轮,数千万人民币,五岳资本,,,,,,,,
Vayyar,,http://www.vayyar.com/,2011-03,亚洲-以色列,运营中,硬件,传感器及中间件,2015-12-16,B轮,2200万美元,"Battery Ventures,Bessemer Venture Partners,Walden Riverwood Ventures",2.21亿,未透露,,Vayyar成立于2011年，是一家3D图像传感器研发公司，为移动设备、智能硬件等提供更低成本的传感器。,,,,-
,,,,,,,,2012-08-01,A轮,1200万美元,"Battery Ventures,Bessemer Venture Partners",,,,,,,,
深思考人工智能,深思考人工智能机器人科技（北京）有限公司,http://www.ideepwise.ai,2015-08,北京-海淀区,运营中,企业服务,行业信息化及解决方案,2016-02-12,Pre-A轮,1000万人民币,九阳股份,1160万,未透露,杨志明:CEO,深思考是一家人工智能领域的高科技公司，公司专注于类脑智能机器人核心算法（机器学习、中文自然语言处理NLP、深度学习、机器视觉）软件及服务。公司核心团队由来自于中科院自动化所、软件所、计算所、半导体所等中科院院所人工智能、机器学习方向的资深科学家组成。,北京市海淀区上地信息路26号01层0112-6室,,,-
,,,,,,,,2015-11-25,天使轮,160万人民币,谆朴投资,,,,,,,,
安润普SOFTCEPTOR,香港安润普有限公司,http://www.advanpro.hk,2013-01,香港-沙田区,运营中,硬件,传感器及中间件,2014-01-01,天使轮,数百万人民币,华欧创投基金,300万,1500万元,,安润普是一家柔性传感技术供应商，基于其独有的SOFTCEPTORTM技术，为材料测试、医疗保健、运动与工业客户提供高价值的产品与技术服务，目前产品包含柔性传感器件和网络、无线数据采集、分析和传输平台与应用解决方案等。,,,,-
Ai.Frame人形机器人矩阵动力,深圳市矩阵动力科技开发有限公司,http://aiframe.me,2014-01,广东-深圳,运营中,硬件,机器人,2015-08-19,天使轮,数百万人民币,博派资本,300万,1500万元,"胡家祺:联合创始人,孙泽波:联合创始人",AI.FRAME是一家人形机器人制造商，产品是一种多自由度、由微型舵机控制的类人形机器人，不仅能完成诸如跑跳、舞蹈等动作，更能进行群体互动例如踢球、摔跤搏击等，深圳市矩阵动力科技开发有限公司旗下产品。,深圳市南山区南山街道前海路0308号太子山庄2栋2单元207室,,,-
天润融通VLink,北京天润融通科技股份有限公司,http://www.vlink.cn,2010-01,北京-丰台区,运营中,企业服务,综合企业服务,-,-,-,-,-,-,吴强:总经理,VLink是一个智能语音云平台，为企业和开发者提供SaaS模式的呼叫中心及语音通信服务，北京天润融通科技有限公司旗下产品。,,,,-
